rowid,clue,answer,definition,clue_number,puzzle_date,puzzle_name,source_url,source
617,Abhorrent former City mob dismissing head of bank (9),EXECRABLE,Abhorrent,8d,2019-06-03,Times 27367,https://times-xwd-times.livejournal.com/2150459.html,times_xwd_times
618,Hat that’s extremely comfortable crossing northern lake (6),CLOCHE,Hat,9d,2019-06-03,Times 27367,https://times-xwd-times.livejournal.com/2150459.html,times_xwd_times
619,"Fortification originally recognised in magnum opus, do we hear? (10)",BREASTWORK,Fortification,14d,2019-06-03,Times 27367,https://times-xwd-times.livejournal.com/2150459.html,times_xwd_times
620,"Disturbing, being out of bed doing my job? (9)",UPSETTING,Disturbing,15d,2019-06-03,Times 27367,https://times-xwd-times.livejournal.com/2150459.html,times_xwd_times
621,"Detective shed tears after a lot of drink, having dishevelled look (9)",WINDSWEPT,having dishevelled look,17d,2019-06-03,Times 27367,https://times-xwd-times.livejournal.com/2150459.html,times_xwd_times
622,Capricious fellow concealing deserter (7),ERRATIC,Capricious,19d,2019-06-03,Times 27367,https://times-xwd-times.livejournal.com/2150459.html,times_xwd_times
623,Hand-out covering upper-class bachelor’s drink (6),DOUBLE,drink,20d,2019-06-03,Times 27367,https://times-xwd-times.livejournal.com/2150459.html,times_xwd_times
624,Live on cape overlooking a palm-tree (5),ARECA,palm-tree,22d,2019-06-03,Times 27367,https://times-xwd-times.livejournal.com/2150459.html,times_xwd_times
625,"Cheeky American, for example, grabbing seconds (5)",SASSY,Cheeky American,24d,2019-06-03,Times 27367,https://times-xwd-times.livejournal.com/2150459.html,times_xwd_times
626,"Part in this way, missing ex at first (4)",SOME,Part,25d,2019-06-03,Times 27367,https://times-xwd-times.livejournal.com/2150459.html,times_xwd_times
627,"Threat suggested by one forever taking tea (3,6)",MAD HATTER,one forever taking tea,1a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
628,"Fun in summer from people in lawsuits being on weed? (6,7)",GARDEN PARTIES,Fun in summer,6a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
629,Poor mark in school given by master (5),GAMMA,Poor mark,13a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
630,Arab friend — European gets one for nothing (11),PALESTINIAN,Arab,14a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
631,"Hot and cold, turning unwell, with this? (5)",CHILL,this,15a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
632,"Singing happily in America, Scotsman from another era (11)",CAROLINGIAN,from another era,16a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
633,"On power trips, quietly press for expulsion of MPs (6,5)",PRIDES PURGE,expulsion of MPs,17a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
634,Pull vehicle back in a series of races (7),ATTRACT,Pull,18a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
635,Irritated expression as pet vanished (7),DOGGONE,Irritated expression,20a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
636,"It offers hope to the sick and old, sure to be treated (7)",LOURDES,It offers hope to the sick,21a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
637,"What could create current possible disagreement? (9,10)",POTENTIAL DIFFERENCE,What could create current,23a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
638,Back an attempt (3),AGO,Back,27a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
639,"In operetta, what’s put before jury? Not a hat (6)",TRILBY,hat,28a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
640,"Terror as dresser goes tipping over, bits smashing off (6)",OGRESS,Terror,29a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
641,"Steps taken as father’s old, getting billions in benefit (4,5)",PASO DOBLE,Steps taken,31a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
642,Agreeable article for men in tribute (9),COMPLIANT,Agreeable,34a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
643,"Closely follow play, having to put in notice (6)",SHADOW,Closely follow,35a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
644,"Walking a very short distance, short of energy (2,4)",ON FOOT,Walking,36a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
645,Scotland’s own Foreign Department (3),AIN,Scotland’s own/Foreign Department,39a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
646,"Done with requirement for Poohsticks (5,5,3,6)",WATER UNDER THE BRIDGE,Done,40a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
647,"Batting with more confidence, one offers chance to cover (7)",INSURER,one offers chance to cover,42a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
648,"Female, commonly odious and critical (7)",FATEFUL,critical,43a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
649,Ridiculous in a suit in the country (7),TUNISIA,the country,45a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
650,"A proportion of customers sat here, troubled by notice (6,5)",MARKET SHARE,A proportion of customers,47a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
651,"Short provision of beer by bar in America (4,7)",HALF MEASURE,Short provision,49a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
652,Trim short leggings (5),TIGHT,Trim,51a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
653,"Praise silent type, advancing initially into battle (11)",ACCLAMATION,Praise,52a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
654,Make altogether disgusting (5),GROSS,Make altogether/disgusting,53a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
655,"Part of fighter’s gear to lug, before run across high ground (9,4)",CARTRIDGE BELT,Part of fighter’s gear,54a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
656,"Fielder, inadequate, returning trophies (9)",SHORTSTOP,Fielder,55a,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
657,"Chitty-Chitty Bang-Bang, say, favourite fairytale transport (5,6)",MAGIC CARPET,fairytale transport,1d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
658,"In getting up fast, I remedy fault (7)",DEMERIT,fault,2d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
659,Sort of lamp I plugged in picked up as benefit (5),AVAIL,benefit,3d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
660,"Prepare vegetables and quickly see to baby (3,3,4)",TOP AND TAIL,Prepare vegetables/quickly see to baby,4d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
661,Met together for cause: Republican joined (7),RALLIED,Met together for cause,5d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
662,"Smooth style of progress through various gears? Nonsense (3,3,7)",GAS AND GAITERS,Nonsense,6d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
663,"Before test, drops coat (9)",RAINPROOF,coat,7d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
664,Construction of poem featuring in Eliot’s first gamble (7),EDIFICE,Construction,8d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
665,Greek visionary’s plans then lie in ruins (12),PANHELLENIST,Greek visionary,9d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
666,Get back from city in sheer delight (9),RECAPTURE,Get back from,10d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
667,"Ditch, I hear, with predictable exceptions gets more slippery (5)",ICIER,more slippery,11d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
668,Runner’s up prizes on high quality race track (11),SILVERSTONE,race track,12d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
669,A loveless return for country girl (7),ANNABEL,girl,19d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
670,"Trace family: Nick may do it (4,5)",DRAW BLOOD,Nick may do it,22d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
671,Traditional accompaniments that are cut off (9),TRIMMINGS,Traditional accompaniments/that are cut off,24d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
672,Boat that leads the way for others? (7),LIGHTER,Boat,25d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
673,Knock over wine for communion (7),RAPPORT,communion,26d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
674,"The latest worry for museum conservator? (5,2,3,3)",STATE OF THE ART,The latest,30d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
675,Useless worker endlessly about to finish cell extension (7),DENDRON,cell extension,32d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
676,"Antelope eats daisies, including one in remote place (6,6)",EASTER ISLAND,remote place,33d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
677,"Winning daily is guaranteed, but not car (11)",CHARISMATIC,Winning,34d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
678,"You’re caught; could this describe Quidditch? (3,4,2,2)",THE GAME IS UP,You’re caught,37d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
679,Discovered painting in prison: sentence not wasted! (10),PENTIMENTO,Discovered painting,38d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
680,We worked with rectors in one cathedral ... (9),WORCESTER,one cathedral,40d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
681,"in another, saw end of prayer cut short with entry of queen (5,4)",NOTRE DAME,another,41d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
682,"In charge, one party of Africans ringed girl (7)",FIANCEE,ringed girl,43d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
683,Hardy tucks into extremely luscious sweets (7),LOLLIES,sweets,44d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
684,"Excluded workers rising in turn to get drinks (4,3)",SHUT OUT,Excluded,46d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
685,Man I have heard on the radio (5),ROGER,Man/I have heard on the radio,48d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
686,Horrible feeling commonly looms over time (5),ANGST,Horrible feeling,50d,2017-02-25,Jumbo 1250,https://times-xwd-times.livejournal.com/1692212.html,times_xwd_times
687,Crustacean in pub clean when cooked (8),BARNACLE,Crustacean,1a,2021-03-24,Times Quick Cryptic 1837,https://times-xwd-times.livejournal.com/2509187.html,times_xwd_times
688,Reasonable travel cost announced (4),FAIR,Reasonable,5a,2021-03-24,Times Quick Cryptic 1837,https://times-xwd-times.livejournal.com/2509187.html,times_xwd_times
689,British crowd returned device for detonation (4),BOMB,device for detonation,7a,2021-03-24,Times Quick Cryptic 1837,https://times-xwd-times.livejournal.com/2509187.html,times_xwd_times
690,"Obsession, not initially serious, developed (8)",NEUROSIS,Obsession,8a,2021-03-24,Times Quick Cryptic 1837,https://times-xwd-times.livejournal.com/2509187.html,times_xwd_times
691,Arthurian knight taking his weapon back to lake (8),LANCELOT,Arthurian knight,9a,2021-03-24,Times Quick Cryptic 1837,https://times-xwd-times.livejournal.com/2509187.html,times_xwd_times
692,Hoofed mammal in Kansas occasionally (3),ASS,Hoofed mammal,11a,2021-03-24,Times Quick Cryptic 1837,https://times-xwd-times.livejournal.com/2509187.html,times_xwd_times
693,Manic Monday for energetic person (6),DYNAMO,energetic person,13a,2021-03-24,Times Quick Cryptic 1837,https://times-xwd-times.livejournal.com/2509187.html,times_xwd_times
694,Prophet in South Africa fried pastry (6),SAMOSA,fried pastry,16a,2021-03-24,Times Quick Cryptic 1837,https://times-xwd-times.livejournal.com/2509187.html,times_xwd_times
695,Mischievous goddess had some food (3),ATE,Mischievous goddess/had some food,18a,2021-03-24,Times Quick Cryptic 1837,https://times-xwd-times.livejournal.com/2509187.html,times_xwd_times
696,"Instruct class producing toy (5,3)",TRAIN SET,toy,19a,2021-03-24,Times Quick Cryptic 1837,https://times-xwd-times.livejournal.com/2509187.html,times_xwd_times
697,Lug instrument and books round room (8),OTOSCOPE,Lug instrument,20a,2021-03-24,Times Quick Cryptic 1837,https://times-xwd-times.livejournal.com/2509187.html,times_xwd_times
698,Cash card number son secures (4),PINS,secures,22a,2021-03-24,Times Quick Cryptic 1837,https://times-xwd-times.livejournal.com/2509187.html,times_xwd_times
699,Man will encounter wicked souls here (4),HELL,encounter wicked souls here,23a,2021-03-24,Times Quick Cryptic 1837,https://times-xwd-times.livejournal.com/2509187.html,times_xwd_times
700,Rescue dog losing tail (8),RETRIEVE,Rescue,24a,2021-03-24,Times Quick Cryptic 1837,https://times-xwd-times.livejournal.com/2509187.html,times_xwd_times
701,Robert has been ahead in Olympic event (7),BOBSLED,Olympic event,1d,2021-03-24,Times Quick Cryptic 1837,https://times-xwd-times.livejournal.com/2509187.html,times_xwd_times
702,Cow perhaps having drink at home with insect (8),RUMINANT,Cow perhaps,2d,2021-03-24,Times Quick Cryptic 1837,https://times-xwd-times.livejournal.com/2509187.html,times_xwd_times
703,"This won't turn in the lock (5,4)",CANAL BOAT,This won't turn in the lock,3d,2021-03-24,Times Quick Cryptic 1837,https://times-xwd-times.livejournal.com/2509187.html,times_xwd_times
704,Grounded winger involved in three murders (3),EMU,Grounded winger,4d,2021-03-24,Times Quick Cryptic 1837,https://times-xwd-times.livejournal.com/2509187.html,times_xwd_times
705,Force to slam explosively causing wreckage (7),FLOTSAM,wreckage,5d,2021-03-24,Times Quick Cryptic 1837,https://times-xwd-times.livejournal.com/2509187.html,times_xwd_times
706,"Here in France, head shows hostile attitude (7)",ICINESS,hostile attitude,6d,2021-03-24,Times Quick Cryptic 1837,https://times-xwd-times.livejournal.com/2509187.html,times_xwd_times
707,Will roused mates in canvas shelter (9),TESTAMENT,Will,10d,2021-03-24,Times Quick Cryptic 1837,https://times-xwd-times.livejournal.com/2509187.html,times_xwd_times
708,Fish holding short stick in biannual event (8),SOLSTICE,biannual event,12d,2021-03-24,Times Quick Cryptic 1837,https://times-xwd-times.livejournal.com/2509187.html,times_xwd_times
709,Get any in arrangement with Zulu banker? (7),YANGTZE,banker,14d,2021-03-24,Times Quick Cryptic 1837,https://times-xwd-times.livejournal.com/2509187.html,times_xwd_times
710,Mister Solo shot after a little hesitation? (7),AEROSOL,Mister,15d,2021-03-24,Times Quick Cryptic 1837,https://times-xwd-times.livejournal.com/2509187.html,times_xwd_times
711,Entertainer is treat when sozzled (7),ARTISTE,Entertainer,17d,2021-03-24,Times Quick Cryptic 1837,https://times-xwd-times.livejournal.com/2509187.html,times_xwd_times
712,Blade beheaded wild pig (3),OAR,Blade,21d,2021-03-24,Times Quick Cryptic 1837,https://times-xwd-times.livejournal.com/2509187.html,times_xwd_times
713,"Do well to dispense with a certain condiment (3,3,7)",CUT THE MUSTARD,Do well,1a,2015-07-01,Quick Cryptic Number 342,https://times-xwd-times.livejournal.com/1340895.html,times_xwd_times
714,"Not happy, getting stick for eucalyptus (7)",BLUEGUM,eucalyptu,8a,2015-07-01,Quick Cryptic Number 342,https://times-xwd-times.livejournal.com/1340895.html,times_xwd_times
715,College window (5),ORIEL,College/window,9a,2015-07-01,Quick Cryptic Number 342,https://times-xwd-times.livejournal.com/1340895.html,times_xwd_times
716,"Without direct involvement, but less than a metre away? (2,4,6)",AT ARMS LENGTH,Without direct involvement,10a,2015-07-01,Quick Cryptic Number 342,https://times-xwd-times.livejournal.com/1340895.html,times_xwd_times
717,"Threat from people, one in a suit (6)",MENACE,Threat,12a,2015-07-01,Quick Cryptic Number 342,https://times-xwd-times.livejournal.com/1340895.html,times_xwd_times
718,Awful critic is sort of acid (6),CITRIC,sort of acid,14a,2015-07-01,Quick Cryptic Number 342,https://times-xwd-times.livejournal.com/1340895.html,times_xwd_times
719,"Quiet exercise at river, say, being something of a fish (4,3)",SOFT ROE,something of a fish,17a,2015-07-01,Quick Cryptic Number 342,https://times-xwd-times.livejournal.com/1340895.html,times_xwd_times
720,Compound kept by some Westerners (5),ESTER,Compound,19a,2015-07-01,Quick Cryptic Number 342,https://times-xwd-times.livejournal.com/1340895.html,times_xwd_times
721,Instrument played by old Marx (5),HARPO,Marx,20a,2015-07-01,Quick Cryptic Number 342,https://times-xwd-times.livejournal.com/1340895.html,times_xwd_times
722,Trade vehicles (7),TRAFFIC,Trade/vehicles,21a,2015-07-01,Quick Cryptic Number 342,https://times-xwd-times.livejournal.com/1340895.html,times_xwd_times
723,Lean over a short distance in tournament centre (8),TILTYARD,tournament centre,22a,2015-07-01,Quick Cryptic Number 342,https://times-xwd-times.livejournal.com/1340895.html,times_xwd_times
724,"Desperate man, eastern European (4)",DANE,European,23a,2015-07-01,Quick Cryptic Number 342,https://times-xwd-times.livejournal.com/1340895.html,times_xwd_times
725,"Different people – not her sort, not all of them (6)",OTHERS,Different people,1a,2018-02-22,Quick Cryptic No 1033,https://times-xwd-times.livejournal.com/1898241.html,times_xwd_times
726,"Calm little place, attended by a group of detectives (6)",PLACID,Calm,4a,2018-02-22,Quick Cryptic No 1033,https://times-xwd-times.livejournal.com/1898241.html,times_xwd_times
727,Proverbial drinker outside pub is European (7),FINNISH,European,8a,2018-02-22,Quick Cryptic No 1033,https://times-xwd-times.livejournal.com/1898241.html,times_xwd_times
728,Criticise one Conservative creating alarm (5),PANIC,alarm,10a,2018-02-22,Quick Cryptic No 1033,https://times-xwd-times.livejournal.com/1898241.html,times_xwd_times
729,Female bird always returning full of energy (5),REEVE,Female bird,11a,2018-02-22,Quick Cryptic No 1033,https://times-xwd-times.livejournal.com/1898241.html,times_xwd_times
730,Northern city quickly attracting any number (7),PRESTON,Northern city,12a,2018-02-22,Quick Cryptic No 1033,https://times-xwd-times.livejournal.com/1898241.html,times_xwd_times
731,"Chum is dancing in front of everyone in entertainment venue (5,4)",MUSIC HALL,entertainment venue,13a,2018-02-22,Quick Cryptic No 1033,https://times-xwd-times.livejournal.com/1898241.html,times_xwd_times
732,"Small crown, gold one seen in court (7)",CORONET,Small crown,17a,2018-02-22,Quick Cryptic No 1033,https://times-xwd-times.livejournal.com/1898241.html,times_xwd_times
733,We hear horses eat in field (5),GRAZE,eat in field,19a,2018-02-22,Quick Cryptic No 1033,https://times-xwd-times.livejournal.com/1898241.html,times_xwd_times
734,Like female not looking very well (5),ASHEN,not looking very well,20a,2018-02-22,Quick Cryptic No 1033,https://times-xwd-times.livejournal.com/1898241.html,times_xwd_times
735,Stopping almost all night after travel (7),HALTING,Stopping,21a,2018-02-22,Quick Cryptic No 1033,https://times-xwd-times.livejournal.com/1898241.html,times_xwd_times
736,Tries to present pieces for university tutor? (6),ESSAYS,Tries,22a,2018-02-22,Quick Cryptic No 1033,https://times-xwd-times.livejournal.com/1898241.html,times_xwd_times
737,Candlestick boy carried around cold Anglican church (6),SCONCE,Candlestick,23a,2018-02-22,Quick Cryptic No 1033,https://times-xwd-times.livejournal.com/1898241.html,times_xwd_times
738,City offering what’s collected in box for down-and-outs (6),OXFORD,City,1d,2018-02-22,Quick Cryptic No 1033,https://times-xwd-times.livejournal.com/1898241.html,times_xwd_times
739,"Protests on the go when food is not available (6,7)",HUNGER MARCHES,Protests on the go,2d,2018-02-22,Quick Cryptic No 1033,https://times-xwd-times.livejournal.com/1898241.html,times_xwd_times
740,"One book is missing from new libraries, they protest (7)",RAILERS,they protest,3d,2018-02-22,Quick Cryptic No 1033,https://times-xwd-times.livejournal.com/1898241.html,times_xwd_times
741,"Fall in part of race, starts to seem exhausted (5)",LAPSE,,5d,2018-02-22,Quick Cryptic No 1033,https://times-xwd-times.livejournal.com/1898241.html,times_xwd_times
742,Groups of stars interfered with colonial’s tent (13),CONSTELLATION,Groups of stars,6d,2018-02-22,Quick Cryptic No 1033,https://times-xwd-times.livejournal.com/1898241.html,times_xwd_times
743,Proper journey down mountain maybe without first sign of snow (6),DECENT,Proper,7d,2018-02-22,Quick Cryptic No 1033,https://times-xwd-times.livejournal.com/1898241.html,times_xwd_times
744,Hard work is followed by whisky and a game (9),HOPSCOTCH,a game,9d,2018-02-22,Quick Cryptic No 1033,https://times-xwd-times.livejournal.com/1898241.html,times_xwd_times
745,‘Innocent’ Alice being false – no good inside (7),ANGELIC,‘Innocent’,14d,2018-02-22,Quick Cryptic No 1033,https://times-xwd-times.livejournal.com/1898241.html,times_xwd_times
746,Grate fragment ending in fire (6),SCRAPE,Grate,15d,2018-02-22,Quick Cryptic No 1033,https://times-xwd-times.livejournal.com/1898241.html,times_xwd_times
747,"My, my!  It’s a horse (3-3)",GEE,horse,16d,2018-02-22,Quick Cryptic No 1033,https://times-xwd-times.livejournal.com/1898241.html,times_xwd_times
748,Girl in New York who looks after children? (5),NANNY,Girl in New York who looks after children,18d,2018-02-22,Quick Cryptic No 1033,https://times-xwd-times.livejournal.com/1898241.html,times_xwd_times
749,Suggest work in writing (7),PROPOSE,Suggest,1a,2017-05-29,Times Quick Cryptic 840,https://times-xwd-times.livejournal.com/1747794.html,times_xwd_times
750,Chop end off dining chair (5),CARVE,Chop,5a,2017-05-29,Times Quick Cryptic 840,https://times-xwd-times.livejournal.com/1747794.html,times_xwd_times
751,"Potentially characters in Animal Farm, an unlikely sort of story (4,3,4)",COCK AND BULL,Potentially characters in Animal Farm/ an unlikely sort of story,8a,2017-05-29,Times Quick Cryptic 840,https://times-xwd-times.livejournal.com/1747794.html,times_xwd_times
752,Weapons found in farmstead (4),ARMS,Weapons,10a,2017-05-29,Times Quick Cryptic 840,https://times-xwd-times.livejournal.com/1747794.html,times_xwd_times
753,Fruit Ray and Bert cultivated across years (8),TAYBERRY,Fruit,11a,2017-05-29,Times Quick Cryptic 840,https://times-xwd-times.livejournal.com/1747794.html,times_xwd_times
754,Brave reorganisation of Hire Co (6),HEROIC,Brave,12a,2017-05-29,Times Quick Cryptic 840,https://times-xwd-times.livejournal.com/1747794.html,times_xwd_times
755,"For example, one / sort of anaesthetic (6)",NUMBER,"For example, one/sort of anaesthetic",14a,2017-05-29,Times Quick Cryptic 840,https://times-xwd-times.livejournal.com/1747794.html,times_xwd_times
756,"Good-looking worker, so attached to me (8)",HANDSOME,Good-looking,16a,2017-05-29,Times Quick Cryptic 840,https://times-xwd-times.livejournal.com/1747794.html,times_xwd_times
757,Little pig and the noise it makes if head's cut? (4),RUNT,Little pig,18a,2017-05-29,Times Quick Cryptic 840,https://times-xwd-times.livejournal.com/1747794.html,times_xwd_times
758,Mild-mannered in attack (11),INOFFENSIVE,Mild-mannered,20a,2017-05-29,Times Quick Cryptic 840,https://times-xwd-times.livejournal.com/1747794.html,times_xwd_times
759,Be left with large and ultimately unlovely stomach (5),BELLY,stomach,22a,2017-05-29,Times Quick Cryptic 840,https://times-xwd-times.livejournal.com/1747794.html,times_xwd_times
760,Quieter part of distillery (7),STILLER,Quieter,23a,2017-05-29,Times Quick Cryptic 840,https://times-xwd-times.livejournal.com/1747794.html,times_xwd_times
761,Athlete runs behind lots of people (5),RACER,Athlete,2d,2017-05-29,Times Quick Cryptic 840,https://times-xwd-times.livejournal.com/1747794.html,times_xwd_times
762,Miniature picture — A Sailing Vessel — by old Spanish artist (7),PICASSO,Spanish artist,3d,2017-05-29,Times Quick Cryptic 840,https://times-xwd-times.livejournal.com/1747794.html,times_xwd_times
763,Type of music some kids adore at the outset (3),SKA,Type of music,4d,2017-05-29,Times Quick Cryptic 840,https://times-xwd-times.livejournal.com/1747794.html,times_xwd_times
764,Severe reduction in A & E (5),ACUTE,Severe,6d,2017-05-29,Times Quick Cryptic 840,https://times-xwd-times.livejournal.com/1747794.html,times_xwd_times
765,I reveal foreign girl's name (7),VALERIE,girl's name,7d,2017-05-29,Times Quick Cryptic 840,https://times-xwd-times.livejournal.com/1747794.html,times_xwd_times
766,Respected lady agreed to stash foreign money (7),DOYENNE,Respected lady,9d,2017-05-29,Times Quick Cryptic 840,https://times-xwd-times.livejournal.com/1747794.html,times_xwd_times
767,"Hire purchase no longer available for carpet (4,3)",TICK OFF,carpet,11d,2017-05-29,Times Quick Cryptic 840,https://times-xwd-times.livejournal.com/1747794.html,times_xwd_times
768,Test area in former excavation site (7),EXAMINE,Test,13d,2017-05-29,Times Quick Cryptic 840,https://times-xwd-times.livejournal.com/1747794.html,times_xwd_times
769,"Warlike officer, we hear (7)",MARTIAL,Warlike,15d,2017-05-29,Times Quick Cryptic 840,https://times-xwd-times.livejournal.com/1747794.html,times_xwd_times
770,Nobleman upset Liberal? That's funny (5),DROLL,funny,17d,2017-05-29,Times Quick Cryptic 840,https://times-xwd-times.livejournal.com/1747794.html,times_xwd_times
771,Terribly nice English family member (5),NIECE,family member,19d,2017-05-29,Times Quick Cryptic 840,https://times-xwd-times.livejournal.com/1747794.html,times_xwd_times
772,Fool turned up in tank top (3),NIT,Fool,21d,2017-05-29,Times Quick Cryptic 840,https://times-xwd-times.livejournal.com/1747794.html,times_xwd_times
773,Organiser of party — lots of people (4),HOST,Organiser of party/lots of people,1d,2017-06-07,Quick Cryptic 847,https://times-xwd-times.livejournal.com/1753496.html,times_xwd_times
774,Take me abroad to capture river mammal (7),MEERKAT,mammal,2d,2017-06-07,Quick Cryptic 847,https://times-xwd-times.livejournal.com/1753496.html,times_xwd_times
775,Make circular motion with part of foot (5),WHEEL,Make circular motion,3d,2017-06-07,Quick Cryptic 847,https://times-xwd-times.livejournal.com/1753496.html,times_xwd_times
776,Translation of Hardy located around one Arab city (6),RIYADH,Arab city,4d,2017-06-07,Quick Cryptic 847,https://times-xwd-times.livejournal.com/1753496.html,times_xwd_times
777,"Reveal girth, bolting frenziedly (5,2,5)",BRING TO LIGHT,Reveal,5d,2017-06-07,Quick Cryptic 847,https://times-xwd-times.livejournal.com/1753496.html,times_xwd_times
778,Join a Parisian welcoming computers etc. (5),UNITE,Join,6d,2017-06-07,Quick Cryptic 847,https://times-xwd-times.livejournal.com/1753496.html,times_xwd_times
779,Insect lands doggedly after turbulence (5-4-4),DADDY-LONG-LEGS,Insect,7d,2017-06-07,Quick Cryptic 847,https://times-xwd-times.livejournal.com/1753496.html,times_xwd_times
